,caseid,task,user,end_timestamp,start_timestamp,role,ac_index,rl_index
0,Case1,Turning & Milling,ID4932,2012-01-30 12:43:00,2012-01-30 06:24:00,Role 1,21,1
1,Case1,Turning & Milling,ID4932,2012-01-30 13:42:00,2012-01-30 12:44:00,Role 1,21,1
2,Case1,Turning & Milling,ID4167,2012-01-30 14:21:00,2012-01-30 13:59:00,Role 1,21,1
3,Case1,Turning & Milling,ID4167,2012-01-30 17:58:00,2012-01-30 14:21:00,Role 1,21,1
4,Case1,Turning & Milling Q.C.,ID4163,2012-01-31 21:50:00,2012-01-31 20:20:00,Role 3,22,8
5,Case1,Laser Marking,ID0998,2012-02-01 15:27:00,2012-02-01 15:18:00,Role 7,8,12
6,Case1,Lapping,ID4882,2012-02-14 08:15:00,2012-02-14 07:00:00,Role 7,7,12
7,Case1,Lapping,ID4882,2012-02-14 08:15:00,2012-02-14 07:00:00,Role 7,7,12
8,Case1,Lapping,ID4882,2012-02-14 16:38:00,2012-02-14 16:05:00,Role 7,7,12
9,Case1,Lapping,ID4882,2012-02-14 17:20:00,2012-02-14 16:05:00,Role 7,7,12
10,Case1,Round Grinding,ID4445,2012-02-14 20:37:00,2012-02-14 16:13:00,Role 2,15,7
11,Case1,Round Grinding,ID4445,2012-02-14 22:27:00,2012-02-14 20:37:00,Role 2,15,7
12,Case1,Final Inspection Q.C.,ID4493,2012-02-16 14:59:00,2012-02-16 13:59:00,Role 3,3,8
13,Case1,Final Inspection Q.C.,ID4493,2012-02-16 20:58:00,2012-02-16 19:11:00,Role 3,3,8
14,Case1,Final Inspection Q.C.,ID4493,2012-02-16 23:12:00,2012-02-16 19:43:00,Role 3,3,8
15,Case1,Packing,ID4820,2012-02-17 08:00:00,2012-02-17 07:00:00,Role 5,12,10
16,Case10,Turning & Milling,ID3846,2012-01-17 18:05:00,2012-01-17 14:01:00,Role 1,21,1
17,Case10,Turning Q.C.,ID4618,2012-01-17 18:15:00,2012-01-17 18:00:00,Role 3,23,8
18,Case10,Turning & Milling,ID4132,2012-01-18 03:01:00,2012-01-18 02:24:00,Role 1,21,1
19,Case10,Turning & Milling,ID4132,2012-01-18 06:43:00,2012-01-18 03:01:00,Role 1,21,1
20,Case10,Turning & Milling,ID4794,2012-01-18 13:32:00,2012-01-18 06:49:00,Role 1,21,1
21,Case10,Turning & Milling,ID3846,2012-01-18 14:24:00,2012-01-18 13:59:00,Role 1,21,1
22,Case10,Turning & Milling,ID4132,2012-01-19 00:55:00,2012-01-18 23:33:00,Role 1,21,1
23,Case10,Turning & Milling,ID4132,2012-01-19 03:04:00,2012-01-19 00:57:00,Role 1,21,1
24,Case10,Turning & Milling,ID4794,2012-01-19 13:29:00,2012-01-19 03:10:00,Role 1,21,1
25,Case10,Turning & Milling,ID4132,2012-01-20 01:09:00,2012-01-19 23:12:00,Role 1,21,1
26,Case10,Turning & Milling,ID4132,2012-01-20 03:08:00,2012-01-20 01:10:00,Role 1,21,1
27,Case10,Turning & Milling,ID4794,2012-01-20 12:10:00,2012-01-20 03:09:00,Role 1,21,1
28,Case10,Turning & Milling,ID4641,2012-01-22 13:34:00,2012-01-22 09:42:00,Role 1,21,1
29,Case10,Turning & Milling,ID3846,2012-01-22 14:13:00,2012-01-22 14:00:00,Role 1,21,1
30,Case10,Turning & Milling,ID3846,2012-01-23 00:47:00,2012-01-22 16:02:00,Role 1,21,1
31,Case10,Turning Q.C.,ID4618,2012-01-23 17:26:00,2012-01-23 14:54:00,Role 3,23,8
32,Case10,Laser Marking,ID4794,2012-01-25 17:57:00,2012-01-25 16:31:00,Role 1,8,1
33,Case10,Laser Marking,ID4882,2012-01-25 19:54:00,2012-01-25 18:00:00,Role 7,8,12
34,Case10,Laser Marking,ID4882,2012-01-25 21:09:00,2012-01-25 20:22:00,Role 7,8,12
35,Case10,Flat Grinding,ID0998,2012-01-27 20:00:00,2012-01-27 17:30:00,Role 7,5,12
36,Case10,Flat Grinding,ID0998,2012-01-29 22:06:00,2012-01-29 15:09:00,Role 7,5,12
37,Case10,Flat Grinding,ID0998,2012-01-30 23:59:00,2012-01-30 22:19:00,Role 7,5,12
38,Case10,Final Inspection Q.C.,ID4618,2012-02-02 21:16:00,2012-02-02 19:38:00,Role 3,3,8
39,Case10,Packing,ID4820,2012-02-03 08:00:00,2012-02-03 07:00:00,Role 5,12,10
40,Case100,Turning & Milling,ID4219,2012-02-21 00:57:00,2012-02-21 00:09:00,Role 1,21,1
41,Case100,Turning & Milling,ID4529,2012-02-21 09:57:00,2012-02-21 05:57:00,Role 1,21,1
42,Case100,Turning & Milling,ID4219,2012-02-21 18:03:00,2012-02-21 13:45:00,Role 1,21,1
43,Case100,Turning & Milling,ID4219,2012-02-21 19:08:00,2012-02-21 18:04:00,Role 1,21,1
44,Case100,Turning & Milling Q.C.,ID4618,2012-02-22 22:10:00,2012-02-22 21:48:00,Role 3,22,8
45,Case100,Laser Marking,ID0998,2012-03-11 18:06:00,2012-03-11 18:05:00,Role 7,8,12
46,Case100,Flat Grinding,ID0998,2012-03-11 19:45:00,2012-03-11 19:23:00,Role 7,5,12
47,Case100,Lapping,ID4882,2012-03-11 20:18:00,2012-03-11 19:46:00,Role 7,7,12
48,Case100,Round Grinding,ID4445,2012-03-13 17:41:00,2012-03-13 17:34:00,Role 2,15,7
49,Case100,Round Grinding,ID4445,2012-03-13 22:12:00,2012-03-13 17:41:00,Role 2,15,7
50,Case100,Grinding Rework,ID4872,2012-03-16 19:40:00,2012-03-16 18:30:00,Role 2,6,7
51,Case100,Final Inspection Q.C.,ID4618,2012-03-19 21:06:00,2012-03-19 18:21:00,Role 3,3,8
52,Case100,Packing,ID4820,2012-03-21 08:00:00,2012-03-21 07:00:00,Role 5,12,10
53,Case100,Final Inspection Q.C.,ID4618,2012-03-21 14:03:00,2012-03-21 14:02:00,Role 3,3,8
54,Case101,Setup,ID4219,2012-03-14 03:03:00,2012-03-14 01:47:00,Role 1,17,1
55,Case101,Turning & Milling,ID4219,2012-03-14 06:03:00,2012-03-14 03:38:00,Role 1,21,1
56,Case101,Turning & Milling,ID4219,2012-03-14 06:49:00,2012-03-14 06:04:00,Role 1,21,1
57,Case101,Turning & Milling,ID4219,2012-03-14 08:06:00,2012-03-14 06:50:00,Role 1,21,1
58,Case101,Turning & Milling,ID4794,2012-03-14 13:28:00,2012-03-14 08:06:00,Role 1,21,1
59,Case101,Turning & Milling,ID0997,2012-03-14 14:48:00,2012-03-14 14:02:00,Role 1,21,1
60,Case101,Turning & Milling,ID0997,2012-03-14 18:10:00,2012-03-14 14:49:00,Role 1,21,1
61,Case101,Turning & Milling,ID0997,2012-03-14 20:30:00,2012-03-14 18:11:00,Role 1,21,1
62,Case101,Turning & Milling Q.C.,ID4618,2012-03-14 21:48:00,2012-03-14 20:33:00,Role 3,22,8
63,Case101,Flat Grinding,ID0998,2012-03-15 17:55:00,2012-03-15 16:55:00,Role 7,5,12
64,Case101,Lapping,ID0998,2012-03-23 19:40:00,2012-03-23 18:00:00,Role 7,7,12
65,Case101,Round Grinding,ID4528,2012-03-25 07:45:00,2012-03-25 06:15:00,Role 2,15,7
66,Case101,Round Grinding,ID4528,2012-03-25 14:45:00,2012-03-25 07:45:00,Role 2,15,7
