,caseid,task,user,start_timestamp,end_timestamp
1,Case101,Setup,Role 1,2012-03-14 01:47:00,2012-03-14 03:03:00
2,Case101,Turning & Milling,Role 1,2012-03-14 03:38:00,2012-03-14 06:03:00
3,Case101,Turning & Milling,Role 1,2012-03-14 06:04:00,2012-03-14 06:49:00
4,Case101,Turning & Milling,Role 1,2012-03-14 06:50:00,2012-03-14 08:06:00
5,Case101,Turning & Milling,Role 1,2012-03-14 08:06:00,2012-03-14 13:28:00
6,Case101,Turning & Milling,Role 1,2012-03-14 14:02:00,2012-03-14 14:48:00
7,Case101,Turning & Milling,Role 1,2012-03-14 14:49:00,2012-03-14 18:10:00
8,Case101,Turning & Milling,Role 1,2012-03-14 18:11:00,2012-03-14 20:30:00
9,Case101,Turning & Milling Q.C.,Role 3,2012-03-14 20:33:00,2012-03-14 21:48:00
10,Case101,Flat Grinding,Role 7,2012-03-15 16:55:00,2012-03-15 17:55:00
11,Case101,Lapping,Role 7,2012-03-23 18:00:00,2012-03-23 19:40:00
12,Case101,Round Grinding,Role 2,2012-03-25 06:15:00,2012-03-25 07:45:00
13,Case101,Round Grinding,Role 2,2012-03-25 07:45:00,2012-03-25 14:45:00
14,Case101,Final Inspection Q.C.,Role 3,2012-03-25 14:50:00,2012-03-25 19:31:00
15,Case101,Lapping,Role 7,2012-03-25 18:00:00,2012-03-25 19:00:00
16,Case101,Laser Marking,Role 7,2012-03-25 19:15:00,2012-03-25 19:29:00
17,Case101,Packing,Role 5,2012-03-26 08:00:00,2012-03-26 09:00:00
20,Case104,Turning & Milling,Role 1,2012-03-20 03:43:00,2012-03-20 09:26:00
21,Case104,Turning & Milling,Role 1,2012-03-20 09:27:00,2012-03-20 13:41:00
22,Case104,Turning & Milling,Role 1,2012-03-20 14:00:00,2012-03-20 18:07:00
23,Case104,Turning & Milling Q.C.,Role 3,2012-03-20 16:54:00,2012-03-20 18:54:00
24,Case104,Turning & Milling Q.C.,Role 3,2012-03-21 13:55:00,2012-03-21 14:41:00
25,Case104,Laser Marking,Role 1,2012-03-21 16:21:00,2012-03-21 16:49:00
28,Case105,Turning & Milling,Role 1,2012-03-21 06:18:00,2012-03-21 13:34:00
29,Case105,Turning & Milling,Role 1,2012-03-21 14:18:00,2012-03-21 17:31:00
32,Case106,Turning & Milling,Role 1,2012-03-15 17:14:00,2012-03-15 22:44:00
33,Case106,Turning & Milling,Role 1,2012-03-15 23:55:00,2012-03-16 03:38:00
34,Case106,Turning & Milling Q.C.,Role 3,2012-03-19 14:00:00,2012-03-19 14:28:00
35,Case106,Laser Marking,Role 7,2012-03-19 16:38:00,2012-03-19 17:51:00
36,Case106,Flat Grinding,Role 7,2012-03-19 21:42:00,2012-03-19 22:20:00
37,Case106,Final Inspection Q.C.,Role 3,2012-03-21 22:27:00,2012-03-22 00:57:00
38,Case106,Packing,Role 5,2012-03-22 07:00:00,2012-03-22 08:00:00
39,Case106,Final Inspection Q.C.,Role 3,2012-03-22 18:50:00,2012-03-22 20:05:00
42,Case107,Turning & Milling,Role 1,2012-03-30 14:36:00,2012-03-30 19:47:00
45,Case111,Turning,Role 1,2012-03-13 04:10:00,2012-03-13 07:13:00
46,Case111,Turning,Role 1,2012-03-13 07:13:00,2012-03-13 13:39:00
47,Case111,Turning,Role 1,2012-03-13 14:10:00,2012-03-13 23:10:00
48,Case111,Turning,Role 1,2012-03-13 23:14:00,2012-03-14 02:42:00
49,Case111,Turning,Role 1,2012-03-14 02:44:00,2012-03-14 13:45:00
50,Case111,Turning,Role 1,2012-03-14 13:58:00,2012-03-14 17:59:00
51,Case111,Turning Q.C.,Role 3,2012-03-14 20:50:00,2012-03-14 22:05:00
52,Case111,Turning & Milling,Role 1,2012-03-22 18:14:00,2012-03-23 00:50:00
53,Case111,Turning & Milling,Role 1,2012-03-23 03:00:00,2012-03-23 14:00:00
54,Case111,Turning & Milling,Role 1,2012-03-23 14:00:00,2012-03-23 19:41:00
55,Case111,Turning,Role 1,2012-03-23 14:09:00,2012-03-23 19:41:00
56,Case111,Turning,Role 1,2012-03-24 13:31:00,2012-03-24 22:53:00
57,Case111,Turning & Milling,Role 1,2012-03-24 20:51:00,2012-03-24 22:52:00
58,Case111,Turning & Milling,Role 1,2012-03-25 06:52:00,2012-03-25 14:45:00
