caseid,task,user,start_timestamp,end_timestamp
Case1,Turning & Milling,ID4932,2012/01/30 06:24:00,2012/01/30 12:43:00
Case1,Turning & Milling,ID4932,2012/01/30 12:44:00,2012/01/30 13:42:00
Case1,Turning & Milling,ID4167,2012/01/30 13:59:00,2012/01/30 14:21:00
Case1,Turning & Milling,ID4167,2012/01/30 14:21:00,2012/01/30 17:58:00
Case1,Turning & Milling Q.C.,ID4163,2012/01/31 20:20:00,2012/01/31 21:50:00
Case1,Laser Marking,ID0998,2012/02/01 15:18:00,2012/02/01 15:27:00
Case1,Lapping,ID4882,2012/02/14 07:00:00,2012/02/14 08:15:00
Case1,Lapping,ID4882,2012/02/14 07:00:00,2012/02/14 08:15:00
Case1,Lapping,ID4882,2012/02/14 16:05:00,2012/02/14 16:38:00
Case1,Lapping,ID4882,2012/02/14 16:05:00,2012/02/14 17:20:00
Case1,Round Grinding,ID4445,2012/02/14 16:13:00,2012/02/14 20:37:00
Case1,Round Grinding,ID4445,2012/02/14 20:37:00,2012/02/14 22:27:00
Case1,Final Inspection Q.C.,ID4493,2012/02/16 13:59:00,2012/02/16 14:59:00
Case1,Final Inspection Q.C.,ID4493,2012/02/16 19:11:00,2012/02/16 20:58:00
Case1,Final Inspection Q.C.,ID4493,2012/02/16 19:43:00,2012/02/16 23:12:00
Case1,Packing,ID4820,2012/02/17 07:00:00,2012/02/17 08:00:00
Case10,Turning & Milling,ID3846,2012/01/17 14:01:00,2012/01/17 18:05:00
Case10,Turning Q.C.,ID4618,2012/01/17 18:00:00,2012/01/17 18:15:00
Case10,Turning & Milling,ID4132,2012/01/18 02:24:00,2012/01/18 03:01:00
Case10,Turning & Milling,ID4132,2012/01/18 03:01:00,2012/01/18 06:43:00
Case10,Turning & Milling,ID4794,2012/01/18 06:49:00,2012/01/18 13:32:00
Case10,Turning & Milling,ID3846,2012/01/18 13:59:00,2012/01/18 14:24:00
Case10,Turning & Milling,ID4132,2012/01/18 23:33:00,2012/01/19 00:55:00
Case10,Turning & Milling,ID4132,2012/01/19 00:57:00,2012/01/19 03:04:00
Case10,Turning & Milling,ID4794,2012/01/19 03:10:00,2012/01/19 13:29:00
Case10,Turning & Milling,ID4132,2012/01/19 23:12:00,2012/01/20 01:09:00
Case10,Turning & Milling,ID4132,2012/01/20 01:10:00,2012/01/20 03:08:00
