,caseid,task,user,start_timestamp,end_timestamp,l1,l2,l3,city1,city2,city3,city4,city5,snap1,snap2,snap3,snap4,snap5
0,Case1,Turning & Milling,ID4932,2012-01-30 06:24:00,2012-01-30 12:43:00,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Case1,Turning & Milling,ID4932,2012-01-30 12:44:00,2012-01-30 13:42:00,10,2,2,1,1,4,5,10,10,10,10,10,10
2,Case1,Turning & Milling,ID4167,2012-01-30 13:59:00,2012-01-30 14:21:00,12,2,1,1,2,5,6,12,12,12,12,12,12
3,Case1,Turning & Milling,ID4167,2012-01-30 14:21:00,2012-01-30 17:58:00,15,3,2,2,4,7,8,15,15,15,15,15,15
4,Case1,Turning & Milling Q.C.,ID4163,2012-01-31 20:20:00,2012-01-31 21:50:00,39,9,3,1,15,20,27,39,25,39,39,39,39
5,Case1,Laser Marking,ID0998,2012-02-01 15:18:00,2012-02-01 15:27:00,42,4,2,5,15,22,28,41,23,42,42,42,42
6,Case1,Lapping,ID4882,2012-02-14 07:00:00,2012-02-14 08:15:00,77,26,9,1,9,20,40,63,26,41,57,77,77
7,Case1,Lapping,ID4882,2012-02-14 07:00:00,2012-02-14 08:15:00,77,26,5,1,9,20,40,63,26,41,57,77,77
8,Case1,Lapping,ID4882,2012-02-14 16:05:00,2012-02-14 16:38:00,78,26,2,1,10,20,41,64,27,41,58,71,78
9,Case1,Lapping,ID4882,2012-02-14 16:05:00,2012-02-14 17:20:00,78,26,2,1,10,20,41,64,27,41,58,71,78
10,Case1,Round Grinding,ID4445,2012-02-14 16:13:00,2012-02-14 20:37:00,78,31,5,1,10,20,40,64,27,41,58,71,78
11,Case1,Round Grinding,ID4445,2012-02-14 20:37:00,2012-02-14 22:27:00,78,31,17,3,11,22,41,64,24,42,59,70,78
12,Case1,Final Inspection Q.C.,ID4493,2012-02-16 13:59:00,2012-02-16 14:59:00,82,36,9,2,11,17,36,70,22,46,61,71,82
13,Case1,Final Inspection Q.C.,ID4493,2012-02-16 19:11:00,2012-02-16 20:58:00,83,39,5,3,12,19,37,72,27,50,61,71,83
14,Case1,Final Inspection Q.C.,ID4493,2012-02-16 19:43:00,2012-02-16 23:12:00,83,39,6,3,12,19,37,72,27,50,61,71,83
15,Case1,Packing,ID4820,2012-02-17 07:00:00,2012-02-17 08:00:00,84,36,13,1,11,20,36,73,31,51,62,72,84
16,Case10,Turning & Milling,ID3846,2012-01-17 14:01:00,2012-01-17 18:05:00,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Case10,Turning Q.C.,ID4618,2012-01-17 18:00:00,2012-01-17 18:15:00,11,1,0,1,3,3,11,11,11,11,11,11,11
18,Case10,Turning & Milling,ID4132,2012-01-18 02:24:00,2012-01-18 03:01:00,23,6,0,6,10,11,21,23,23,23,23,23,23
19,Case10,Turning & Milling,ID4132,2012-01-18 03:01:00,2012-01-18 06:43:00,23,6,0,6,10,11,21,23,23,23,23,23,23
20,Case10,Turning & Milling,ID4794,2012-01-18 06:49:00,2012-01-18 13:32:00,24,7,5,7,11,12,22,24,24,24,24,24,24
21,Case10,Turning & Milling,ID3846,2012-01-18 13:59:00,2012-01-18 14:24:00,27,8,5,6,12,14,25,27,27,27,27,27,27
22,Case10,Turning & Milling,ID4132,2012-01-18 23:33:00,2012-01-19 00:55:00,31,10,7,5,16,17,27,31,22,31,31,31,31
23,Case10,Turning & Milling,ID4132,2012-01-19 00:57:00,2012-01-19 03:04:00,31,10,7,5,15,17,27,31,22,31,31,31,31
24,Case10,Turning & Milling,ID4794,2012-01-19 03:10:00,2012-01-19 13:29:00,32,11,7,6,15,18,28,32,23,32,32,32,32
25,Case10,Turning & Milling,ID4132,2012-01-19 23:12:00,2012-01-20 01:09:00,38,14,9,4,18,21,31,38,24,38,38,38,38
26,Case10,Turning & Milling,ID4132,2012-01-20 01:10:00,2012-01-20 03:08:00,39,14,9,4,19,22,32,39,25,39,39,39,39
27,Case10,Turning & Milling,ID4794,2012-01-20 03:09:00,2012-01-20 12:10:00,39,14,9,4,18,22,32,39,24,39,39,39,39
28,Case10,Turning & Milling,ID4641,2012-01-22 09:42:00,2012-01-22 13:34:00,40,14,9,2,15,21,27,40,8,40,40,40,40
29,Case10,Turning & Milling,ID3846,2012-01-22 14:00:00,2012-01-22 14:13:00,40,14,9,1,16,22,27,40,10,40,40,40,40
30,Case10,Turning & Milling,ID3846,2012-01-22 16:02:00,2012-01-23 00:47:00,41,14,9,3,14,23,29,41,13,39,41,41,41
31,Case10,Turning Q.C.,ID4618,2012-01-23 14:54:00,2012-01-23 17:26:00,46,3,0,3,12,28,32,46,21,38,46,46,46
32,Case10,Laser Marking,ID4794,2012-01-25 16:31:00,2012-01-25 17:57:00,55,22,0,4,14,36,39,55,27,40,55,55,55
33,Case10,Laser Marking,ID4882,2012-01-25 18:00:00,2012-01-25 19:54:00,55,22,0,3,14,36,39,55,27,40,55,55,55
34,Case10,Laser Marking,ID4882,2012-01-25 20:22:00,2012-01-25 21:09:00,55,23,1,3,14,36,39,55,26,40,55,55,55
35,Case10,Flat Grinding,ID0998,2012-01-27 17:30:00,2012-01-27 20:00:00,59,5,0,2,14,36,41,59,21,42,58,59,59
36,Case10,Flat Grinding,ID0998,2012-01-29 15:09:00,2012-01-29 22:06:00,61,5,1,1,10,29,43,61,14,39,51,61,61
37,Case10,Flat Grinding,ID0998,2012-01-30 22:19:00,2012-01-30 23:59:00,70,6,0,2,10,29,54,70,30,43,57,70,70
38,Case10,Final Inspection Q.C.,ID4618,2012-02-02 19:38:00,2012-02-02 21:16:00,82,35,1,3,6,20,55,82,22,54,67,75,82
39,Case10,Packing,ID4820,2012-02-03 07:00:00,2012-02-03 08:00:00,83,26,0,0,6,19,50,83,22,55,67,76,83
40,Case100,Turning & Milling,ID4219,2012-02-21 00:09:00,2012-02-21 00:57:00,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Case100,Turning & Milling,ID4529,2012-02-21 05:57:00,2012-02-21 09:57:00,8,3,2,2,3,3,3,5,8,8,8,8,8
