,caseid,task,user,start_timestamp,end_timestamp
0,gen-Case000,Task A,Role 1,2023-06-21 09:22:55UTC,2023-06-21 09:27:35UTC
1,gen-Case000,Task C,Role 2,2023-06-21 09:27:44UTC,2023-06-21 09:32:23UTC
0,gen-Case014,Task A,Role 1,2023-06-21 09:22:55UTC,2023-06-21 09:27:35UTC
1,gen-Case014,Task C,Role 2,2023-06-21 09:27:44UTC,2023-06-21 09:32:23UTC
0,gen-Case028,Task A,Role 1,2023-06-21 09:22:55UTC,2023-06-21 09:27:35UTC
1,gen-Case028,Task C,Role 2,2023-06-21 09:27:44UTC,2023-06-21 09:32:23UTC
2,gen-Case028,Task D,Role 1,2023-06-21 09:32:32UTC,2023-06-21 09:37:10UTC
3,gen-Case028,Task E,Role 2,2023-06-21 09:37:19UTC,2023-06-21 09:41:56UTC
0,gen-Case042,Task A,Role 1,2023-06-21 09:22:55UTC,2023-06-21 09:27:35UTC
1,gen-Case042,Task C,Role 2,2023-06-21 09:27:44UTC,2023-06-21 09:32:23UTC
