caseid,task,user,start_timestamp,end_timestamp
gen-Case00,Grinding Rework,Role 1,2012-03-13 05:23:18+0000,2012-03-13 08:10:32+0000
gen-Case00,Packing,Role 3,2012-03-14 03:23:31+0000,2012-03-14 05:03:16+0000
gen-Case00,Turning & Milling,Role 3,2012-03-14 22:52:47+0000,2012-03-15 00:37:53+0000
gen-Case00,Turning & Milling Q.C.,Role 1,2012-03-15 10:21:15+0000,2012-03-15 12:05:37+0000
gen-Case00,Lapping,Role 3,2012-03-15 19:47:23+0000,2012-03-15 21:15:18+0000
gen-Case00,start,Role 3,2012-03-16 12:17:37+0000,2012-03-16 13:43:13+0000
gen-Case00,start,Role 3,2012-03-17 02:53:32+0000,2012-03-17 04:35:47+0000
gen-Case00,start,Role 3,2012-03-17 15:23:00+0000,2012-03-17 17:15:27+0000
gen-Case00,start,Role 2,2012-03-18 00:51:51+0000,2012-03-18 02:51:41+0000
gen-Case00,start,Role 7,2012-03-18 07:53:23+0000,2012-03-18 10:07:39+0000
gen-Case00,start,Role 3,2012-03-18 13:07:50+0000,2012-03-18 15:29:36+0000
gen-Case00,start,Role 2,2012-03-18 16:57:42+0000,2012-03-18 19:21:14+0000
gen-Case00,start,Role 2,2012-03-18 19:44:42+0000,2012-03-18 22:13:59+0000
gen-Case00,start,Role 3,2012-03-18 22:13:59+0000,2012-03-19 00:46:33+0000
gen-Case00,start,Role 2,2012-03-19 00:46:33+0000,2012-03-19 03:18:40+0000
gen-Case00,start,Role 2,2012-03-19 03:18:40+0000,2012-03-19 05:51:38+0000
gen-Case00,start,Role 2,2012-03-19 05:51:38+0000,2012-03-19 08:27:15+0000
gen-Case00,start,Role 5,2012-03-19 08:27:15+0000,2012-03-19 11:03:25+0000
gen-Case00,start,Role 1,2012-03-19 11:03:25+0000,2012-03-19 12:57:23+0000
gen-Case00,start,Role 3,2012-03-19 12:57:23+0000,2012-03-19 14:50:24+0000
gen-Case00,start,Role 2,2012-03-19 14:50:24+0000,2012-03-19 16:59:52+0000
gen-Case00,start,Role 9,2012-03-19 16:59:52+0000,2012-03-19 19:15:57+0000
gen-Case00,start,Role 4,2012-03-19 19:28:25+0000,2012-03-19 22:04:58+0000
gen-Case00,start,Role 3,2012-03-20 02:02:28+0000,2012-03-20 04:06:18+0000
gen-Case00,start,Role 3,2012-03-20 04:25:32+0000,2012-03-20 06:31:13+0000
gen-Case00,start,Role 1,2012-03-20 06:49:25+0000,2012-03-20 08:58:27+0000
gen-Case00,start,Role 1,2012-03-20 10:48:53+0000,2012-03-20 12:59:59+0000
gen-Case00,start,Role 1,2012-03-20 16:07:41+0000,2012-03-20 18:14:46+0000
gen-Case00,start,Role 3,2012-03-20 22:05:10+0000,2012-03-21 00:08:34+0000
gen-Case00,start,Role 1,2012-03-21 01:36:48+0000,2012-03-21 03:40:51+0000
gen-Case00,start,Role 1,2012-03-21 06:34:51+0000,2012-03-21 08:39:17+0000
gen-Case00,start,Role 1,2012-03-21 12:20:24+0000,2012-03-21 14:21:17+0000
gen-Case00,start,Role 1,2012-03-21 18:42:02+0000,2012-03-21 20:39:58+0000
gen-Case00,start,Role 3,2012-03-22 01:47:34+0000,2012-03-22 03:44:15+0000
gen-Case00,start,Role 4,2012-03-22 06:34:42+0000,2012-03-22 08:31:43+0000
gen-Case00,start,Role 3,2012-03-22 12:14:02+0000,2012-03-22 13:55:52+0000
gen-Case00,start,Role 1,2012-03-22 14:58:02+0000,2012-03-22 16:42:08+0000
gen-Case00,start,Role 3,2012-03-22 18:57:03+0000,2012-03-22 20:47:42+0000
gen-Case00,start,Role 1,2012-03-22 22:29:16+0000,2012-03-23 00:22:12+0000
gen-Case00,start,Role 1,2012-03-23 03:52:13+0000,2012-03-23 05:48:12+0000
gen-Case00,start,Role 3,2012-03-23 10:13:46+0000,2012-03-23 12:07:32+0000
gen-Case00,start,Role 1,2012-03-23 14:43:52+0000,2012-03-23 16:39:24+0000
gen-Case00,start,Role 1,2012-03-23 20:42:59+0000,2012-03-23 22:40:46+0000
gen-Case00,start,Role 1,2012-03-24 03:18:04+0000,2012-03-24 05:14:01+0000
gen-Case00,start,Role 1,2012-03-24 10:06:31+0000,2012-03-24 12:00:47+0000
gen-Case00,start,Role 1,2012-03-24 16:55:21+0000,2012-03-24 18:48:37+0000
gen-Case00,start,Role 3,2012-03-24 23:39:16+0000,2012-03-25 01:31:49+0000
gen-Case00,start,Role 1,2012-03-25 03:50:49+0000,2012-03-25 05:44:25+0000
gen-Case00,start,Role 1,2012-03-25 09:36:57+0000,2012-03-25 11:33:53+0000
gen-Case00,start,Role 3,2012-03-25 16:12:19+0000,2012-03-25 18:07:23+0000
gen-Case00,start,Role 3,2012-03-25 21:28:41+0000,2012-03-25 23:24:04+0000
gen-Case00,start,Role 1,2012-03-26 02:10:28+0000,2012-03-26 04:08:02+0000
gen-Case00,start,Role 1,2012-03-26 08:42:41+0000,2012-03-26 10:43:09+0000
gen-Case00,start,Role 1,2012-03-26 16:21:27+0000,2012-03-26 18:19:21+0000
gen-Case00,start,Role 1,2012-03-27 00:32:15+0000,2012-03-27 02:27:55+0000
gen-Case00,start,Role 3,2012-03-27 08:32:41+0000,2012-03-27 10:26:20+0000
gen-Case00,start,Role 7,2012-03-27 13:20:17+0000,2012-03-27 15:14:29+0000
gen-Case00,start,Role 1,2012-03-27 18:00:41+0000,2012-03-27 20:03:46+0000
gen-Case00,start,Role 1,2012-03-27 23:29:34+0000,2012-03-28 01:32:25+0000
gen-Case00,start,Role 1,2012-03-28 06:09:36+0000,2012-03-28 08:11:34+0000
gen-Case00,start,Role 1,2012-03-28 13:00:45+0000,2012-03-28 15:01:19+0000
gen-Case00,start,Role 1,2012-03-28 19:24:35+0000,2012-03-28 21:23:14+0000
gen-Case00,start,Role 1,2012-03-29 01:15:18+0000,2012-03-29 03:11:31+0000
gen-Case00,start,Role 1,2012-03-29 07:01:45+0000,2012-03-29 08:56:14+0000
gen-Case00,start,Role 3,2012-03-29 13:04:26+0000,2012-03-29 14:57:31+0000
gen-Case00,start,Role 2,2012-03-29 16:50:54+0000,2012-03-29 18:43:59+0000
gen-Case00,start,Role 2,2012-03-29 20:54:48+0000,2012-03-29 22:57:38+0000
